abundance;abundancia
ac;ca
atk;atq
pwr;pdr
accursed;condenado
acid;ácido
additional mp;pm adicional
adorcism;sacralizar
advancement;avance
aged;decadente
agility;agilidad
alchemist;alquimista
alchemy;suministros
alchemy skill;hab alquimia
alchemy skill increase;aumentos de hab alquimia
alembic;alambique
algernon;algernón
amber;ámbar
amethyst;amatista
amulet of burning resistance;amuleto de resistir quemaduras
amulet of life saving;amuleto de salvación
amulet of magic reflection;amuleto de reflejar magia
amulet of olympic swimming;amuleto de nado olímpico
amulet of poison resistance;amuleto antiveneno
amulet of sex change;amuleto de cambiar sexo
amulet of strangulation;amuleto de estrangulamiento
anansi;anansi
anatra;anatra
anelace;anelace
animal hat;sombrero animal
anka;anka
anonymous;anónimo
apprentice hood;capucha de aprendiz
apron;delantal
aquamarine;aguamarina
arbalest;arbalesta
arcana;arcana
arcane boulder;pedrusco arcano
arcane citadel;ciudadela arcana
arcane mark;marca arcana
arcane marked;marca arcana
arcanist;arcanista
armor;armaduras
armor bonus;bonus de armadura
armor class;clase de amadura
armor class ac;clase de armadura ca
armor class bonus;bonus clase de armadura
art;arte
artemisia;artemisa
arthropod form;forma artrópoda
artifact breastpiece;coraza de artefacto
artifact cloak;capa de artifacto
artifact helm;yelmo de artefacto
artisan;artesanal
assassin hood;capucha de asesino
assassination;asesinato
atk average;atq promedio
atk damage range;daño atq a dist
attack;ataque
attract;atraer
attribute;atributos
augment;empodera
automaton;autómata
axe;hacha
axe skill;hab hacha
backpack;mochila
backstab;ataque furtivo
backstab bonus dmg;bonus daño por atq furtivo
backstabbing;ataques furtivos
bandana;bandana
bandit leather;coraza de cuero de bandido
baphomet;baphomet
baphomet domain;dominio de baphomet
baratheon;baratheon
barbarian;bárbaro
bard instrument;instrumetno de bardo
baron herx;barón herx
base ac total;ca base total
base armor class;clase de amadura base
base hp regen disabled;regen de pv desactivada
base ht rate;tasa de klr base
base melee damage;daño base cac
base ranged damage;daño base distancia
base spell power;poder base de hechizo
base spell power bonus;bonus poder mágico
base unarmed damage;daño base desarmado
bat;murciélago
bear hood;capucha de oso
beartrap;trampa de mandíbula
beast;bestia
beastfolk;razas bestiales
bell;campana
black cloak;capa negra
blackiron axe;hacha de hierro negro
blackiron boot;botas de hierro negro
blackiron breastpiece;coraza de hierro negro
blackiron crossbow;ballesta de hierro negro
blackiron dart;dardo de hierro negro
blackiron gauntlet;guanteletes de hierro negro
blackiron helm;casco de hierro negro
blackiron mace;maza de hierro negro
blackiron shield;escudo de hierro negro
blackiron sword;espada de hierro negro
blackiron trident;tridente de hierro negro
bladevine;liana cortante
blank scroll;pergamino en blanco
bleeding;sangrado
blessed;celestial
blessed wizard hat;sombrero de mago bendecido
blessing;celestial
blindfold;antifaz
blindness;ceguera
blocking;bloqueo
blocking skill;hab bloqueo
blood vial;frasco de sangre
bloodletting;sangría
blouse;blusa
blue mystic orb;orbe místico azul
bola;boleadora
bone;hueso
bone axe;hacha de hueso
bone bracer;brazaletes de hueso
bone breastpiece;coraza de hueso
bone helm;casco de hueso
bone mace;maza de hueso
bone shield;escudo de hueso
bone sword;espada de hueso
booby trap;trampa
bookstore;librería
boomerang;búmeran
boot;botas
boulder trap;trampa de pedrusco
bounty hunter hat;sombrero de cazarecompensas
bow;arco
bow attack;ataques con arco
bracer;brazaletes
bram castle;castillo de bram
branch bow;arco de rama
branch staff;bastón de rama
breathe fire;aliento ígneo
breathe fire;escupir fuego
brewer;destilador
bronze axe;hacha de bronce
bronze key;llave de bronce
bronze mace;maza de bronce
bronze shield;escudo de bronce
bronze sword;espada de bronce
bronze tomahawk;tomahawk de bronce
bugbear;osgo
bunny hood;capucha de conejo
burning;quemadura
burning resistance;resistir quemaduras
bycocket;feluca
byrd;byrd
callout;llamado
campaign;encrucijada
canardo;canardo
casting;canalizar
casting consume mp;canalizar consumirá pm
casting memorized spell;magia memorizada
cauldron;caldero
ceiling trap;trampa de techo
cha;car
chain armor;cota de malla
challenge;reto
chan;chan
character;personaje
charisma;carisma
charlotte;charlotte
charm monster;encantar monstruo
chr;car
church;iglesia
circlet;diadema
circlet of sorcery;diadema de hechicería
circlet of thaumaturgy;diadema de taumaturgia
circlet of wisdom;diadema de sabiduría
citadel;ciudadela
citrine;citrina
class stat growth shapeshifted;incremento estadístico cambiaformas
claymore;mandoble
cleanse food;purificar alimento
cleat;botas de montaña
cleric;clérigo
cloak;capa
cloak burned up;capas agotadas
cloak of invisibility;capa de invisibilidad
cloak of magic reflection;capa de reflejo mágico
cloak of protection;capa de protección
cloak of the guardian;capa del guardián
clothing;vestimenta
cloudy;decadente
cockatrice;cocatriz
cockatrice lair;cubil de la cocatriz
cold;frío
cold resistance;resistencia al frío
compel;obligar
compound bow;arco compuesto
con str;con fue
conflict;conflicto
confusion;confusión
conjurer;conjurador
constitution;constitución
construct;constructo
consumed;consumido
consumption;consunción
container;contenedor
contravention;transgresión
controlling goblin;controlando trasgos
costume;disfraz
counsel;consejo
courage;coraje
cowardice;cobardía
crab;cangrejo
cracked;frágil
crafted;elaborado
critical spell;conjuro crítico
critical strike;golpes críticos
crossbow;ballesta
crown;corona
crystal;cristal
crystal axe;hacha de cristal
crystal boot;botas de cristal
crystal breastpiece;coraza de cristal
crystal caf;cuevas de cristal
crystal gauntlet;guanteletes de cristal
crystal golem;gólem de cristal
crystal helm;yelmo de cristal
crystal key;llave de cristal
crystal mace;maza de cristal
crystal shard;fragmento de cristal
crystal shield;escudo de cristal
crystal shuriken;shuriken de cristal
crystal spear;lanza de cristal
crystal sword;espada de cristal
crystal visor;visera de cristal
curse;infame
curse flesh;maldecir cuerpo
cursed;infame
daedalus;dédalo
damage;daño
dash;brío
deactivate;deactivar
decanting;decantar
deceased;fallecido
decent;decente
decrepit;deficiente
deface;desfigurar
defending ac increase shield;aumento ca defensiva
degeneration;degeneración
degraded;degradado
delicatessen;delicatessen
demon;demonio
demonic;demoníaco
dendrite cloak;capa dendrítica
deployed;desplegado
deployed gyrobot;girobots desplegados
deployed trap;trampas desplegadas
desecrate;profanar
destroyed;irreparable
detection;detección
dethroning herx;destronando a herx
devil;diablillo
dex;des
dexterity;destreza
dexterity dex;destreza des
dexterity perception;destreza percepción
diamond;diamante
dig;excavar
digging;excavando
disable hp regeneration;desactiva la regeneración de pv
disarm;desarmar
disrupted;desequilibrio
divination;adivinación
dizzy;mareo
dominate;dominar
dominate mp cost;costo pm de dominar
donation;donación
doodle;garabato
doublet;jubón
dracula;drácula
drum;tambor
drunk;ebriedad
drunk goatman;ebriedad fauno
dryad;dríade
dummy;títere
dummybot;títere
dungeon;mazmorra
dungeon basic;fundamentos de la mazmorra
dungeon expedition;expediciones de mazmorra
dungeon floor;mazmorra actual
dungeon hide many;mazmorra esconde muchos
dungeon run;partidas de mazmorra
dungeon trap;trampas de la mazmorra
dungeoning;mazmorreo
duration;duración
dusted;desempolvado
dyrnwyn;dyrnwyn
each potion type;cada tipo de poción
each shopkeeper trade;cada comerciante comercia
echola;lucas
effect duration;duración de efecto
effect still work;efecto aún funciona
emerald;esmeralda
enchanted amulet;amuleto encantado
enchanted ring;anillo encantado
enemy;enemigo
energy burn rate;tasa de consumo de energía
enhance weapon;potenciar arma
enslaved ghoul;necrófago esclavizado
envenom weapon;envenenar arma
erudyce;erudyce
evaporated;volátil
evasion;evasión
evocation;evocación
executioner hood;capucha de verdugo
exorcise;exorcizar
experience;experiencia
expert;experto
eyepatch;parche para ojos
faded;tenue
favorite skill;habilidad favorita
fear;miedo
feather;pluma
felt hat;sombrero de fieltro
fiercely guarded kobold maze;laberito kóbold ferozmente custodiado
fire faster but deal;dispara más rápido pero inflige
fire hunting ammo;flecha ardiente de cacería 
fire sprite;sílfide ígnea
fire wall;muro ardiente
fireball;bola de fuego
fist weapon;arma de puño
flail;mangual
flame;llamas
flame cloak;capa ígnea
flame elemental;elemental ígneo
flame resistant;resistente al fuego
flame shield;escudo ígneo
flame trap;trampa de fuego
flammable;inflamable
flanking;flanqueo
flanking damage;daño de flanqueo
flawed;regular
flawless;deslumbrante
flexible;flexible
fluorite;fluorita
flute;flauta
flutter;aleteo
flutter dash spray acid;aleteo brío rocío ácido
focu;foco
forcebolt;virote mágico
forge jewel;forjar gema
forge key;forjar llave
forge magic;forjar magia
forge metal;forja metal
fountain;fuente
fragile;frágil
free action;acción libre
freeze trap;trampa de congelación
fresh;saludable
frostbitten;congelación
frypan;sartén
gadget;artilugio
garnet;granate
gate;portón
gauntlet;guanteletes
gem;gema
gemstone;piedra preciosa
geomancy;geomancia
germinate;germinar
ghost;espectro
ghostbolt;rayo espectral
ghoul;necrófago
ghoul disturbed;necrófagos perturbados
gnome;gnomo
goatman;fauno
goblin;trasgo
gold key;llave de oro
golem;gólem
grape;uva
gravestone;lápida
greasy;grasiento
greatsword;espadón
green mystic orb;orbe místico verde
gyro;girobot
gyrobot;girobot
hamlet;hamlet
harvest trap;cosechar trampa
hat;sombrero
haunted castle;castillo embrujado
healer;curandero
healing;curación
health regeneration;regeneración de vida
heavy;pesado
hell;infierno
